,urlDrugName,rating,effectiveness,sideEffects,benefitsReview
221,levitra,8,Moderately Effective,No Side Effects,"Had to take an extra 1/2 pill in addition to prescribed dose of 1/2 pill per event, usually night before in order to achieve satisfactory benefit of performance.  Previously used another brand but was discontinued by HMO.  Much depends on regular exercise & regular sleep activities to be effective."
222,neurontin,4,Moderately Effective,Moderate Side Effects,"BENRFITS OF TREATMENT: Unsure - My legs ache. I don't remember ever having any real pain, other than an annoying ache in both legs. I feel as though I am walking in wet fishing boots.  There is a buzzing in my legs and feet. It has over the past several years crept up from my ankles to above my knees. With all this I do very well walking a slow pace - sometimes like a drunken Sailor. I walk down 101 stairs  tale a short walk and come back up 2 at a time (slowly) holding onto a rail (now)."
223,lyrica,1,Ineffective,Extremely Severe Side Effects,None!
224,elavil,8,Highly Effective,Moderate Side Effects,restful sleep
225,aloprim,8,Highly Effective,Moderate Side Effects,I would get painful swelling in my feet.  I could not even stand the bed sheet to touch my feet.  One time while on vacation I was swollen up to my knees.  The medication makes my life easier.  I don't have to worry that when I wake up I won't be able to walk around my house.  I rarely have any slight indication that the gout is going to be a problem.
226,citalopram,1,Ineffective,Moderate Side Effects,I felt that i did not feel any benefits from this drug.
227,metrogel,4,Moderately Effective,Moderate Side Effects,Sometimes lessoned redness
228,wellbutrin-xl,7,Moderately Effective,Mild Side Effects,"elevation of mood and clarity of thought.  Progress stalled out at 300 mg, but with increase to 450 mg can tell the difference.  I'm able to finally think and plan ahead and chip away at all the clutter I've not been able to deal with which accumulated while depressed."
229,zyprexa,3,Considerably Effective,Severe Side Effects,The Zyprexa minimized agitative outbursts
230,methotrexate,7,Considerably Effective,Moderate Side Effects,This drug definitely helped control flares and joint stiffness. It also helped defeat the incredible amount of hives. Hives were completely controlled.
231,chantix,9,Highly Effective,Mild Side Effects,Loss of the desire to smoke and eventually the cessation of smoking altogether.
232,prempro,10,Highly Effective,Mild Side Effects,daily hot flashes and night sweats are much less severe if any at all. sleep is less distrubed and mood swings are much less. i no longer feel enraged when i wake in the morning.  Depression is gone and i feel less tired (probably because i get more sleep).
233,provigil,4,Moderately Effective,Moderate Side Effects,none
234,wellbutrin-xl,9,Considerably Effective,Mild Side Effects,"Greatly benefitted depression. I started to take this just before my child was born, having had post partum depression with another baby, and I was anticipating my life to be at least as hectic, if not more hectic, when this child was born as when the older child was born. I was very  pleased with the antidepressant effects. I never experienced any depression at all once this baby was born. I did not experience hypomania like I did with sertraline, which was a huge concern of mine. I just did not become depressed when this baby was born."
235,mobic,6,Ineffective,Mild Side Effects,"quite effective without the adverse effects of aspirin, naproxin etc.
because of the reported side effects of cox2  meds i take as little as possible to maintain a reletively comfortable exixtence"
236,lamisil,10,Highly Effective,No Side Effects,"After having tried several over the counter treatments for this condition, this treatment was the only one that effectively treated the condition.  The itching and discoloration began to dissipate after a few days and symptoms were completely gone after two weeks."
237,abilify,6,Considerably Effective,No Side Effects,I've only been on it for a week but I've noticed a change already. I am more awake and it seems as though a fog has been lifted. I am thinking more clearly and don't feel so down.
238,ultracet,5,Considerably Effective,Moderate Side Effects,reduces pain
239,valtrex,7,Moderately Effective,Mild Side Effects,It definitely reduced the size and severity of the cold sore but now I get the more frequently.  Like twice a month!!
240,wellbutrin-sr,10,Highly Effective,No Side Effects,"It greatly helped with my depression which was caused by a divorce after 28 years of marriage. 3 months after my separation my Father died and my Mother became very angry and unresponsive with me.When I started taking this medication I was able to focus better at work and at home I was able to effectively deal with my emotions, I also experienced an increase in my libido. I am still currently taking the generic form of Wellbutrin SR (Bupropion)."
241,retin-a,3,Ineffective,Severe Side Effects,"I saw almost no benefits to this treatment with re: acne, though possibly there was exfoliation or collagen benefit. I believe it exacerbated my acne. On the mornings after the nights I used the cream, my acne seemed to come out much worse (particularly on the chin & jaw area where the condition was the worst)."
242,neurontin,6,Moderately Effective,Moderate Side Effects,"at the highest dosage, the generic, gabapentin, seemingly reduced nerve pain resulting from Peripheral Neuropathy following surgery to remove neuromas in both feet (although it is a very subjective pain, which is affected by other factors: tension, sitting for prolonged periods, etc.)"
243,lorazepam,9,Highly Effective,Moderate Side Effects,"i could control my panic and knew i could. therefore, just having lorazepam with me was often enough. over the years, my attacks diminished, first in severity, then in quantity."
244,vivelle-dot,9,Highly Effective,No Side Effects,"The treatment benefits was estrogen replacement.  This estrogen patch system significatly reduced my headaches.  Estrogen is not processed through the liver when delivered via a patch, therefore reducing hormone induced migrains.  I felt normal for the first time in years after my hysterectomy.  I love this medication."
245,lexapro,4,Moderately Effective,Moderate Side Effects,My obsessive thoughts completely disappeared. This was a huge relief because before that I was comparing myself to others 24/7. I was able to handle stressful situations calmly. Nothing could make me upset.
246,wellbutrin,9,Considerably Effective,Mild Side Effects,"increased energy. better focus. better sex drive. more ""alive"" than when only taking lexapro and loestrin."
247,relafen,5,Marginally Effective,Moderate Side Effects,"The only benefit I received from this drug was the ability to get through my day without experiencing unbearable pain. My sciatica was not a condition that flared up continually; rather, it came approximately 4-6 times per month."
248,valium,6,Considerably Effective,Mild Side Effects,"It was beneficial for alleviating nervousness and feelings of anxiety. I took one half tablet or a full tablet depending upon how anxious or nervous I was feeling. If particularly anxious/nervous sometimes I took one tablet plus a half. I didn't take this medication on a daily basis, but only when I was going to be involved in a nerve wracking experience."
249,yasmin,10,Highly Effective,No Side Effects,"I've been on yasmin four years now, it works so great! I have no side effects, just nausea if I take two at a time and that is hardly ever.  But my acne completely went away and no pregnancy the whole time I've been on it! Would definently recommend to anybody."
250,klonopin,1,Ineffective,Moderate Side Effects,None.  I went from 140lbs down to 98lbs.  I did have reoccuring episodes (TIA like - diagnosed as TIA for lack of conclusive evidence or further investigation)  I now believe it was mostly stress and menopause related issues.
251,tri-luma,2,Marginally Effective,Mild Side Effects,"slight lightening of dark spots. there was really no benefit beyond this.  seems like a waste of time and in fact, just regularly applying sunscreen seems to do a better job of lightening the spots"
252,provigil,7,Considerably Effective,No Side Effects,Was often so tired that I barely got through my work day and would go home and sleep.  My quality of life was pretty much non-existant as I didn't enjoy anthing because I was always too tired.  When I started provigil I quit feeling like I always needed a nap and was able to make plans with friends because I had the energy to do more than just get through 9 to 11 hour work days.
253,mirapex,10,Highly Effective,No Side Effects,"My legs used to jump pretty badly and so did my arms every night about 60 times per hour, that's once a minute.  Sometimes it would wake me up and other times I didn't even know I was doing it, but the doctor told me that it was still disturbing my sleep.  While taking this drug, my legs and arms only jumped about 3 times in a 6 hr period.  All documented on sleep studies."
254,vyvanse,10,Highly Effective,Mild Side Effects,Helps with concentration and staying focused. Helps to keep me from being hyperactive and fidgety and helps with memory to an extent.
255,provera,9,Considerably Effective,Mild Side Effects,The treatment benefits of taking Provera were very good. I had very irregular menses that lasted for long periods of time.  By taking the Provera day 15-26 of my cycle my periods began to normalize and become regular again.
256,adipex-p,9,Considerably Effective,Mild Side Effects,Upon first taking the medication it significantly reduced my hunger almost to the point that I had to remind myself to eat during the day.  It also gave me alot of energy so working out didn't seem like such a chore anymore.  I felt more refreshed and awake in the morning instead of wanting to hit the snooze button over and over.
257,provigil,1,Ineffective,Extremely Severe Side Effects,"I couldn't tolerate the side effects, so I was unable to experience the benefits."
258,zoloft,9,Considerably Effective,No Side Effects,"resolved depression within one week. I was told it did not work that fast, but I know it did. It is"
259,seroquel,8,Considerably Effective,Mild Side Effects,"Seroquel provides a good night sleep, which is very important for mood stabilization. It also helps to calm, and smooth over the rough spots of daily living, while not robbing you of your personality, ie, you still feel like yourself, just calmer."
260,aldara,6,Moderately Effective,Moderate Side Effects,aldara was used on several areas on my face where i had scar revision surgery to help heal surgical wound on face.  It was prescribed by my doctor to speed up healing.
261,xenical,6,Marginally Effective,Mild Side Effects,"The treatment benefits was a minimal weight loss, but not nearly as much as I expected."
262,baclofen,8,Considerably Effective,Mild Side Effects,"Helped with sleep. Could reduce valium, trazadone without withdrawal symptoms"
263,spironolactone,5,Moderately Effective,Extremely Severe Side Effects,Overall reduction in the severity of breakouts.
264,wellbutrin,7,Highly Effective,Moderate Side Effects,"Medication helped with depression, my irritable bowel syndrome, appetite control, and there were no sexual side effects"
265,crestor,2,Considerably Effective,Severe Side Effects,cholesterol and trigl. went down
266,clindamycin-topical,9,Considerably Effective,No Side Effects,"Dries quickly on skin, can be worn under makeup, prevnted bactreial breakouts from makeup sensitivity"
267,chantix,10,Highly Effective,Mild Side Effects,Eliminated nicotine cravings and made smoking cessation very easy.
268,depo-provera,1,Highly Effective,Extremely Severe Side Effects,I did not get pregnant while on the depo shot... but then again my sex life was shot due to the constant bleeding.
269,flexeril,7,Considerably Effective,Severe Side Effects,I am able to get good restful sleep and that is so important in my pain management.
270,chantix,2,Considerably Effective,Extremely Severe Side Effects,It seemed to help make me not want to smoke. I seemed to not even think about smoking at times i would normally smoke. I think it would be very efective if the side effects werent so great.
271,metronidazole,10,Highly Effective,Extremely Severe Side Effects,"Personally, i found metronidazole to be an equivalent to a concentration drug, it severely improved my intelligence and my overall concentration, i realise now that this drug, as it may be depressing, a new chapter in my life.

during the medication i received, i was severely depressed, however it got me thinking deeply towards why i was indeed depressed, and thus, i came to a solution.

it completely destroyed the bacteria that was within my abscess and treated me within 3 days, and aided my mind alot.

Within my experience with metronidazole, i have only to thank it for my A* papers and my mental health.

With that i have only this to say:
Take it, it aids the physical problems you have, and if your like me at all, with greater ambitions than any human can dream,  This will make you realise all the problems you encounter, and it will cleanse you of your worries."
272,dispermox,3,Considerably Effective,Moderate Side Effects,Cured the tonsilitis/strep throat
273,ambien,7,Highly Effective,No Side Effects,Is very helpful with insomnia.  Was able to put racing thoughts that run threw my mind at rest.  Was able to get into a deep sleep.
274,zoloft,4,Moderately Effective,Moderate Side Effects,"The drug did seem to make me feel more confident at the beginning, however towards the 10 11 months it didn't seem to work anymore."
275,depo-provera,9,Highly Effective,Mild Side Effects,"After the first two shots I had no more periods until after being off Depo Provera for nearly 3 months. Also I didn't get pregnant, which was the goal. Before getting on birth control I had been a very moody person, fighting often with people who were important to me and whom I really didn't want to fight. On the shot I still had mood swings but they were not nearly as strong."
276,doxycycline,6,Moderately Effective,Mild Side Effects,So far so good. Will know more after six month mark when x-rays are taken to see if pockets are closing. One area that was highly inflamed before the deep cleaning appears to be healing well. No inflammation there and more pink as opposed to the red color it was before.
277,solodyn,1,Ineffective,Severe Side Effects,"I started this medicine to help my acne, but after a couple of weeks there was no improvement at all.  In fact, my skin was worse. I've taken other antibiotics in the past and they were much more effective at clearing up my skin.  So I stopped taking the Solodyn."
278,suboxone,10,Highly Effective,Mild Side Effects,"Suboxone is beneficial for two reasons:

1) It eliminated the opiate withdrawal when I was kicking my original drug of choice.

2) As a maintenance drug, Suboxone eliminates the cravings that I would normally have for opioids, as well as blocks the effects of agonist opioids (Heroin, Oxycodone, etc.) so that there is no temptation to take these drugs.

Instead of struggling every day to avoid taking opioid drugs (and all of the terrible thing that come with being in active addiction) I can take Suboxone and move on with life. 

Suboxone may have quite literally saved my life."
279,effexor-xr,2,Ineffective,Severe Side Effects,I could not see any benefits. I certainly did not feel any more emotionally balanced or stable than before.
280,zmax,10,Highly Effective,No Side Effects,"This treatment was easy to remember to take at only one time daily.  Although I didn't miss any dose times, if I had, the directions state to take the missed dose, unless it is almost time for the next dose time which would be the following day after the missed dose.  If the latter being so, then one should wait for the next dosage."
281,renova,10,Highly Effective,No Side Effects,good for skin
282,metformin,9,Considerably Effective,Mild Side Effects,Reduced AM fasting glucose
283,prinivil,4,Marginally Effective,Moderate Side Effects,"Apparently, this ace inhibitor has positive effects against retinal and renal pathologies associated with diabetes and other cardio-vascular diseases."
284,neurontin,1,Ineffective,Severe Side Effects,ABSOLUTLEY NONE FOR ME.
285,valium,9,Considerably Effective,No Side Effects,"feeling more relaxed and able to go to work, the breath slowed, shaking stopped and mood improved"
286,vyvanse,7,Highly Effective,Moderate Side Effects,"I needed to switch from straterra which made me very very depressed quiet and i slept for like an hour each night with that drug it was horrible. I switched to Vyvanse and the first time i took it, it was like an anti deppresant at first i was the normal happy hyper me but i could still focus very well on studying but when i started comming down from it that was the worst i was dry heaving with a TERRIBLE HEADACHE for an hour and then i would just throw everything up it made me very irritated i would twitch ALOT and my heart beat was fast and very heavy but after my second day my body started getting use to it and i havent had anymore problems with it."
287,paxil-cr,9,Highly Effective,Mild Side Effects,"It allowed me to feel good enough to ignore and not be bothered by persistent thoughts and anxiety that I could not ignore before. Basically it leveled me out, where the anxiety didn't affect me anymore."
288,ativan,2,Moderately Effective,Severe Side Effects,"At first, could actually sleep. The sleep issue has been life long and various natural things helped but not always.  As stress increased, nothing helped,not even the Ativan."
289,effexor-xr,9,Considerably Effective,Mild Side Effects,My symptoms of depression were eased considerably.  I felt more like myself and began to take pleasure in activities. I stopped feeling sad and crying. I was able to concentrate again.  My appetite returned and my sleep patterns normalized.
290,prempro,9,Considerably Effective,No Side Effects,"I had severe hot flashes all day and night. The night episodes kept me awake most of the night with alternating hot, sweaty flashes, followed by teeth-rattling chills.  Prempro eliminated the vast majority of episodes so i could sleep"
291,darvocet-n,8,Considerably Effective,Moderate Side Effects,"The Darvocet helped with the pain very well in the beginning after returning home from the hospital, but within a week and a half I began to feel as if it weren't helping as much and I needed more. After my two weeks were up on taking it, I gradually just didn't need it any more."
292,ranitidine,5,Marginally Effective,No Side Effects,"Decreased redness and bumpiness by day 6. I believe the benefits were associated with the prescribed medication. However, I was also using a histamine blocking topical cream during the course of treatment."
293,prevacid,8,Considerably Effective,Mild Side Effects,"the prevacid allows me to eat and drink certain foods/fluids that I normally could not tolerate anymore without great discomfort i.e. spicy foods, coffee, chocolate, tomato products, and alcholic drinks, which I only drink occassionally such as red wine.  If I skip the prevacid for any reason, I almost certainly will be very uncomfortable."
294,amoxil,10,Moderately Effective,Mild Side Effects,"I very mildly scratched my left ankle (right on the protruding bone) while snorkeling in the ocean. 
The abrasion was so small that I didn't do any first aid other than wash the area off when showering.
Over the next 3 days the are became inflamed and I began to apply antibiotic powder to try to dry the inflamed area.
On the 4th morning the tiny scratch had developed to the point were the abrasion was an oozing sore about the size of a quarter and my foot was red and swollen making it impossible to put on a shoe.
I immediately went to a local doctor who prescribed amoxilin tablets.
The drug was very effective and the effects could be felt within 24 hours."
295,septra,8,Considerably Effective,Mild Side Effects,"My daughter suffered from an outbreak of painful skin boils on her lower back and stomach, probably 6 total over a few weeks.  They would heal individually after draining (also painful) but more would continually form.  The doctor diagnosed them as caused by MRSA and prescribed Septra along with daily washes with hibiclens soap.  It took 5 days for one very large, undrained boil to heal, but it did heal without draining.  More importantly, the boils stopped forming."
296,tamiflu,10,Highly Effective,Mild Side Effects,"'Was diagnosed with H1N1 and was ill for at little past 3 weeks.  My doctor gave me a prescription for Tamiflu (2 x day for 5 days) on the 3rd day after becoming rapidly ill (onset of high fever -- temp went from 102.8 to 103.2 pretty fast).  Within a few minutes (15 - 20?) after taking it, I noticed I would feel better, and I'd start coughing up mucus from the lungs.  The feeling wore off after a few hours.  I was able to complete the full 5-day course."
297,risperdal,1,Ineffective,Severe Side Effects,I did not experience any benefits whatsoever.
298,soltamox,5,Highly Effective,Moderate Side Effects,A non return of breast cancer
299,celebrex,10,Highly Effective,Mild Side Effects,Reduction of pain and inflammation.
300,lyrica,8,Highly Effective,Severe Side Effects,good unless a stop for a few days
301,seroquel,8,Considerably Effective,Mild Side Effects,The quality of sleep is better that ohter drugs i've taken is the only benefit I  find.  I tried to taper off of it and fould it very difficult the lowest doesage i can take is 100mg.  a little drowsy in the morning but after a couple of cups of coffee im fine.
302,zyprexa,3,Marginally Effective,Moderate Side Effects,There was very little benefit to me. I was having psychotic episodes every day. The drug puportedly taken to stop the episodes did nothing. The best thing it did was make me drowsy and help me sleep.
303,yasmin,7,Highly Effective,Moderate Side Effects,pregnancy prevention
304,lexapro,8,Considerably Effective,Mild Side Effects,"Significantly decreased depression and suicidality, improved sleep, more stable moods and increased energy."
305,celebrex,1,Considerably Effective,Extremely Severe Side Effects,"The benefits were highly good in the fact that it immensley eased the pain in the joints of my mother.When she stopped taking the medication she was faced with accute pain again, so she kept on taking it."
306,levaquin,1,Highly Effective,Extremely Severe Side Effects,Noticeable improvement within 24 hours. Marked improvement within three days. Cleared sinus infection and bronchitis in the ten day prescription time period.
307,xyzal,4,Marginally Effective,Severe Side Effects,My allergies were a little better.  My nose was not as runny.
308,cleocin,8,Considerably Effective,Moderate Side Effects,My acne improved when accompanied by monthly exfoliation peels.
309,claripel-cream,8,Considerably Effective,Mild Side Effects,Minimized pigmentation. Some of my acne scar has faded but some still remain.
310,effexor,7,Moderately Effective,Moderate Side Effects,"The drug prevented emotional highs and lows.  Specifically helped with crying too much.  Lessened the intense ""caring"".  In some cases, it lessened it too much."
311,lyrica,8,Considerably Effective,Mild Side Effects,"lessening of nerve pain, decrease in depression. Medication will be increased as nessesary. Decrease in parathesis, shaking. Exercise is needed to truly relieve pain. Water based therapy can definetely add to releif from pain. Depression medication helps, relieving the other symptoms, and can increase sleep. In general all treatments, Lyrica, anti-depressants, muscle relaxers and exercise program (including stretching, weight-resistance, aerobic and endurance training and water excerises - this should be followed religiously) combined contribute to relieving pain, depression, control weight gain, and give patient back some resemblance of a normal live."
312,cymbalta,9,Highly Effective,No Side Effects,"This medication saved my life. The depression had gotten so sever that I was unable to function properly. It has made me feel like a 'real' person again. It has not done much for the anxiety, panic, or OCD. The Xanax helps with that area. I will be going to the psychiatrist in 2 weeks for the anxiety, panic, and OCD. Hoping to stay on the Cymbalta. I was on Lexapro 30mg from 2000-2006. Then switched to Celexa (cost reasons) 60mg from 2007-2008. The Celexa just about costed me my life. It was ineffective for the Depression. Try not to take Celexa for cost reasons, Lexapro shows much more promise in its effectiveness."
313,imitrex,10,Highly Effective,Mild Side Effects,this drug will make a migriane sufferer inot a real believer in modern medicine--it really gets rid of the headache and allows you to live. I could not be more positive
314,voltaren,10,Highly Effective,No Side Effects,"Without the Voltarin, every step I take makes my joints feel like cracking glass and they ache constantly. This drug greatly reduces that pain throughout the entire day."
315,tetracycline,10,Highly Effective,No Side Effects,"The product took great care of my razor bumps.  If I applied it at night, I was clear by the morning.  I only stopped taking it as the condition itself lessened."
316,valtrex,10,Highly Effective,No Side Effects,"After having this virus for many years I resolved that I was going to look for a possible suppressant. As the medical community acknowledges once you have contacted the virus it will be awaiting an opportunity to break through - especially in times of stress or tiredness. Prior to taking Valtrex I was having a viral herpes attack for about 10 days at a time at least four times a year, sometimes 8 times a year.

Valtrex is an amazing drug!

My experience has been that  if you take a tablet each day you will not transmit the virus to your 
partner provided that you pay attention to the first signs of the virus and abstain from intimate sexual encounters for five days or so or until you can feel or see no more signs of the virus.

To be honest it frustrates me that so many people suffer from this virus but are not informed as to how to treat the problem.

Hope this helps and gives encouragement. For me it has been on par with a miracle.
 
Since taking the drug once daily I have had one only one potential outbreak in the past two and a half  years- at the onset of the potential outbreak I increased the dose to 3  tablets a day twice a day day for four days. This treatment suppressed the outbreak and the symptoms which I felt appeared very slightly and then disappeared within 48 hours."
317,zovirax,8,Considerably Effective,No Side Effects,If I took the Zovirax at the first sign of tingling it would prevent an outbreak.  If I waited I would still get blisters but they would only last 2-3 days.
318,cipro,10,Highly Effective,No Side Effects,"resolved UTI.  Symptoms improved rapidly and with 3-4 days, the urge to frequently urinate had completely subsided."
319,protonix,10,Highly Effective,No Side Effects,It has totally neutralized the effects of my reflux.
320,retin-a,9,Considerably Effective,Mild Side Effects,"After I built up a tolerance, I had little peeling when I applied it only once a day. Used in combination with Erthyrom. caplets (and also topical, used occasionally), I have been able to control deep acne cysts. While the Erthyrom. is probably the major factor, the Retin-A is a good addition."
321,relpax,10,Highly Effective,No Side Effects,"Relpax would take the migraine headache away, including secondary symptoms such as neck aches, jaw pain, and nausea."
322,follistim,10,Highly Effective,Mild Side Effects,I got pregnant.
323,effexor,7,Considerably Effective,Moderate Side Effects,"In comparison with other antidepression medications I have taken prior to the effexor, It actually began working faster than the others (after about 2 weeks).  Most antidepressants usually take closer to 4 weeks to see improvements. Depression symptoms were significantly reduced."
324,lortab,9,Highly Effective,Mild Side Effects,"Had surgery on my neck, the lortab reduce the pain.The lortab help relieve th pain upto eight hours so I did not need to take as many pills to find release. This is a good thing because I do not like pills.  This medication helped tremedously."
325,climara,8,Highly Effective,No Side Effects,"My moods have improved dramatically.  I would wake at least 3 times a night and have difficulty going back to sleep (sleep was always a problem), but now sleep is much better.  Hot flashes were intense and distracting, and have since stopped.  I originally took Premarin which gave me headaches.  The patch and it's consistent delivery has helped immensely to reduce number and severity of headaches."
326,requip,10,Highly Effective,Mild Side Effects,"While standing, my legs were fine, but aching, cramping legs were keeping me from getting any sleep.  My doctor suggested I try Requip, and its been the best thing I have done."
327,accutane,4,Considerably Effective,No Side Effects,"I had the Accutane treatment in 1997 and the short term results (6 months - 1 years) were fantastic, with the exception that the treatment left a big scar on my face and there is nothing I can do about it. After a year I began to have acne breakouts again. Now, six years later, I am also having breakouts in my back and in new places like my neck, chest, behind my ears and (believe it or not!) some in my belly. When I when back for another opinion, they wanted me to have a second Accutane treatment -- no way! Also, after the treatment I can't live without chapstick... My lips are always very dry. Hope this helps somebody out there! Bea"
328,percocet,5,Highly Effective,Severe Side Effects,relieved pain at first but quickly became tolerant and wouls wear off hours before the next dose was due
329,celexa,8,Highly Effective,Moderate Side Effects,"The benefits of Celexa have been surprising and welcome.  Over the passt 15 years I've been given every anti-depressant the doctors could think of.  Most had no effect at all, some had such uncomfortable side effects that I couldn't take them long enough to find out if they would help at all.  One (I can't remember the name) actually lifted my depression almost immediately and made me feel great, but after about 3 weeks I was suddenly plunged into a depression that was darker and more frightening than any I'd experienced before.  I stopped taking it."
330,restasis,10,Highly Effective,No Side Effects,"Restasis dramatically improved issues related to dry eyes, the primary problems were discomfort (the feeling that something was in my eye) and obvious redness.  Both issues disappeared when I started taking restsis.  There was a short period where I ran out of restasis and stopped, after about a week the dry eye symptoms had reappeared, only to do away when I resumed treatment."
331,levoxyl,9,Highly Effective,No Side Effects,Adjusted thyroid levels.
332,seasonique,6,Highly Effective,Severe Side Effects,4 periods a month 3-5 lbs weight gain
333,oxycodone,5,Considerably Effective,Moderate Side Effects,benefits were the pain relieving benefits
334,remeron,2,Ineffective,Severe Side Effects,No apparent benefits.  Had virtually no effect on my depression and it quickly became intolerable to use.
335,differin,9,Considerably Effective,Mild Side Effects,"Differin took several months to take effect and initially seemed to make breakouts worse. After using for some time, however, breakouts ceased and skin became nearly acne-free,"
336,effexor,2,Ineffective,Severe Side Effects,"the xanax has a calming effect, and takes the edge off the effexor side effects."
337,macrobid,1,Considerably Effective,Extremely Severe Side Effects,cured the UTI
338,buprenorphine,10,Highly Effective,No Side Effects,"Subutex is mostly used to help opiate addicts withdrawal more comfortably from opiod drugs such as Vicodin, Oxycodone, and even Heroin. However, I was started on Subutex because my doctor and I were having no luck finding another med that would augment my current depression medications of Effexor XR and Adderall (which were only partially working). My doctor had found research suggesting that Subutex, because it is a partial opiate agonist itself (although much different in its properties compared to what most think of when thinking ""opiate""), binds to one of the opiate receptors in the brain responsible for mood. My doctor has always been on the cutting edge of current research and was extremely open-minded in trying this med with me - and to welcomed relief as well! I have had almost ALL good results from this medication. It has definitely aided in the treatment of my very-treatment-resistent depression. The following are the benefits that I have noticed from taking Subutex:
     1. Quick-acting - because Subutex is sublingual (dissolves under your tongue) it gets into your system immediately and does not have to be processed by your digestive system first.
     2. Gentle effects - I have definitly not experienced any ""highs"". Just a subtle, but noticeable improvement in a feeling of wellbeing.
     3. Also helps somewhat with anxiety by having a calming effect; in normal doses this happens without any tiredness.
     4. Have not noticed ANY of the side effects that I have found with other psychiatric medications such as weight gain/loss, personality changes, sexual effects, etc. Also, in case anyone is worried that Subutex is a ""partial-opiate agonist"", I must emphasize that this med DOES NOT build a tolerance or make you want/need to increase dosage. I have been on this dose for four years without ever even thinking about needing more. HOWEVER!!! You must understand that - as is the case with ALL psychiatric medications - you cannot simply stop taking this medication without tapering your dose first or you will experience withdrawal effects. The one saving grace about Subutex, though, is that it has a very long half-life and will remain in your system long enough to prevent any type of withdrawal even if you miss a day or two of medication."
339,fiorinal,5,Moderately Effective,No Side Effects,It assisted the ibuprofen and cortizone in pain relief.
340,doxycycline,4,Marginally Effective,Mild Side Effects,"I originally began this treatment for acne and I'm still in the process of my acne treatments. However, after a little over two weeks of treatment and seeing an improvement in my skin, I went in for a pap smear and found out that I have asymptomatic chlamydia. I was prescribed 1 gram of Azithromycin and while doing my research found out that the exact same dosage I've been taking of doxycycline for 1-2 weeks is considered an effective way of treating chlamydia, but clearly that did not work for me."
341,propecia,9,Considerably Effective,Mild Side Effects,My hair loss was stopped and I eventually grew new hair at the hairline and where the hair had receded on the side. I do not know if it affected my crown.
342,trazodone,10,Considerably Effective,Mild Side Effects,"I took it before bed, and it helped me get to sleep. It also helped me cope during a difficult time emotionally."
343,zomig,9,Highly Effective,Mild Side Effects,Elminated 95% of Migraines/Headaches!
344,climara,4,Marginally Effective,Severe Side Effects,"nothing noticeable really, night sweats improved (slightly), memory, not as fuzzy"
345,ortho-tri-cyclen,9,Highly Effective,Mild Side Effects,"Benefits were the prevention of pregnancy, regular periods, shorter periods, and less intense pms symptoms.  My breasts went from a full C cup to a full D cup!  I'm on lexapro so that might be the reason i didn't experience really bad mood swings or any depression like some people said they have.  Nothing really changed other than that and it's great to know when i will get my period."
346,synthroid,8,Moderately Effective,No Side Effects,"The drug Levothyroxine 100 mics daily that I took for hypothyroidism was advantagious for my metobolic effect. I did have more energy and felt more alert and awake, as before where I felt lithargic and brain dead.If I inadvertantly skipped a day of medication, I felt like I would notice my sluggishness a few days later."
347,elavil,7,Considerably Effective,Moderate Side Effects,"This medication was prescribed for its side effect of drowsiness.  Although it is mainly used as an anti-depressant, in the tricyclic family, it causes considerable drowsiness at even a low dose of 50mg.  This immediately helped with my insomnia.  It also caused no daytime ""hangover"" effect and the dose can be increased easily."
348,xalatan,8,Considerably Effective,Mild Side Effects,lowering of intraocular  pressure /keeping it under control
349,motrin,7,Considerably Effective,Mild Side Effects,"The symptoms and mal feelings of my prostate disapeared - but not completely (perhaps 70% of the Problems disapeared).
Sexual Funktion and feelings of prostate improved remarkable.

(Only 70% of improvement perhaps my personal problems were not solved with Ibuprofen - and such problem put a lot of stress on prostata in some men)"
350,citalopram,4,Moderately Effective,Moderate Side Effects,"Some symptoms of depression - crying all the time, dark thoughts - were lessened, although hard to know how much benefit the treatment gave all told or whether I would have come through it anyway as I had in the past."
351,prozac,7,Considerably Effective,Moderate Side Effects,The drug seemed to effectively treat the symptoms of depression for a year or so.  After the first year or so the depression seemed to come back now and then - although it did seem to be cyclical.
352,renova,7,Moderately Effective,Severe Side Effects,skin looked healthier with fewer break outs and was smoother. I noticed pores becoming smaller
353,lexapro,8,Considerably Effective,Moderate Side Effects,"I have clinical depression with aggitation and anger. This medication seemed to take the edge off the anger as well as decrease my depressive symptoms. I started at 10mg, then shortly increased to 20mg, which left me feeling too drugged. It was only after 12+ months of taking 10 mg that it was increased due to increasing depressive symptoms."
354,biaxin,10,Highly Effective,Mild Side Effects,"In addition to quickly resolving Bronchitis, asthma improved significantly. Better breathing than I've had in months (prior to bronchitis). Had horrible coughing spasms that caused me to vomit phlegm and almost strangle (several times). Cough and throat irritation diappeared within 2 hours of first dose of Biaxin."
355,cytomel,10,Highly Effective,No Side Effects,"when the standard treatment for hypothyroid didn't work to raise my baseline t3 & t4 levels, i continued to experience all of the low thyroid symptomsA:  coldness, lethargic, depression, etc.  by taking cytomel on the 5 x daily basis, i have very close to normal functioning thyroid activity."
356,accutane,10,Highly Effective,Mild Side Effects,"Accutane cleared up my skin immediately. During the first month, there was no noticeable change, but after about 5 weeks, my acne slowly disappeared and has not come back."
