term,idx,tf,df
bad take,4101,1,1
antibiotic past,2550,1,1
past much,30401,1,1
take solodyn,41190,1,1
suboxone beneficial,39869,1,1
beneficial two,4662,1,1
reason eliminate,33761,1,1
eliminate opiate,13284,1,1
opiate withdrawal,29356,1,1
withdrawal kick,45945,1,1
kick original,22353,1,1
original drug,29484,1,1
drug choice,11906,1,1
choice maintenance,6640,1,1
drug suboxone,12102,1,1
suboxone eliminate,39870,1,1
eliminate craving,13258,1,1
craving would,8864,1,1
normally opioids,28477,1,1
opioids well,29372,1,1
well block,45542,1,1
block effect,5183,1,1
effect agonist,12690,1,1
agonist opioids,1426,1,1
opioids heroin,29371,1,1
heroin oxycodone,19510,1,1
oxycodone etc,29778,1,1
etc temptation,14029,1,1
temptation drug,41510,1,1
drug instead,11991,1,1
instead struggle,21642,1,1
struggle every,39778,1,1
avoid take,3678,1,1
take opioid,41117,1,1
opioid drug,29369,1,1
drug terrible,12112,1,1
terrible thing,41621,1,1
thing come,41854,1,1
active addiction,865,1,1
addiction suboxone,1063,1,1
suboxone move,39872,1,1
life suboxone,23570,1,1
suboxone may,39871,1,1
may quite,25290,1,1
quite literally,33271,1,1
literally save,23970,1,1
benefit certainly,4693,1,1
certainly feel,6356,1,1
feel emotionally,15455,1,1
emotionally balance,13412,1,1
balance stable,4136,1,1
latter,22759,1,1
daily although,9247,1,1
although miss,2192,1,1
time direction,42406,1,1
direction state,10905,1,1
state miss,39103,1,1
dose unless,11590,1,1
unless almost,43976,1,1
almost time,1795,1,1
would following,46621,1,1
following day,16598,1,1
day missed,9574,1,1
missed dose,26524,1,1
dose latter,11549,1,1
latter one,22760,1,1
one wait,29271,1,1
wait next,44926,1,1
next dosage,28033,1,1
reduce fast,34071,1,1
fast glucose,15280,1,1
retinal,35399,1,1
pathology,30442,1,1
cardio,6038,1,1
vascular,44630,1,1
apparently ace,2899,1,1
inhibitor positive,21438,1,1
effect retinal,12875,1,1
retinal renal,35400,1,1
renal pathology,34976,1,1
pathology associate,30443,1,1
associate diabetes,3383,1,1
diabetes cardio,10552,1,1
cardio vascular,6039,1,1
vascular disease,44631,1,1
absolutley,474,1,1
absolutley none,475,1,1
work breath,46235,1,1
breath slow,5595,1,1
slow shake,37918,1,1
shake stop,36807,1,1
stop mood,39524,1,1
straterra,39626,1,1
deppresant,10131,1,1
heaving,19190,1,1
havent,18866,1,1
need switch,27766,1,1
switch straterra,40529,1,1
straterra make,39627,1,1
make depressed,24897,1,1
depressed quiet,10197,1,1
quiet slept,33229,1,1
slept like,37822,1,1
like night,23774,1,1
night drug,28116,1,1
drug horrible,11982,1,1
horrible switch,19858,1,1
vyvanse first,44893,1,1
take like,41068,1,1
anti deppresant,2509,1,1
deppresant first,10132,1,1
first normal,16198,1,1
normal happy,28393,1,1
happy hyper,18790,1,1
hyper could,20237,1,1
still focus,39267,1,1
well study,45687,1,1
study start,39803,1,1
start comming,38949,1,1
comming bad,7435,1,1
bad dry,4051,1,1
dry heaving,12174,1,1
heaving terrible,19191,1,1
would throw,46725,1,1
throw everything,42249,1,1
make irritate,24934,1,1
irritate would,21923,1,1
would twitch,46735,1,1
twitch alot,43656,1,1
alot heart,1868,1,1
beat fast,4278,1,1
fast heavy,15283,1,1
heavy second,19200,1,1
day body,9460,1,1
body start,5313,1,1
use havent,44274,1,1
havent anymore,18867,1,1
anymore problem,2791,1,1
enough ignore,13693,1,1
ignore bother,20427,1,1
bother persistent,5396,1,1
persistent thought,30901,1,1
thought anxiety,42120,1,1
anxiety could,2641,1,1
could ignore,8601,1,1
ignore basically,20426,1,1
basically level,4206,1,1
anxiety affect,2616,1,1
affect anymore,1240,1,1
first could,16155,1,1
actually sleep,973,1,1
sleep issue,37685,1,1
issue life,21985,1,1
long various,24205,1,1
various natural,44624,1,1
natural thing,27535,1,1
always stress,2262,1,1
stress increase,39677,1,1
increase nothing,21026,1,1
help even,19295,1,1
even ativan,14068,1,1
ease considerably,12443,1,1
considerably felt,7978,1,1
like begin,23686,1,1
begin pleasure,4506,1,1
pleasure activity,31323,1,1
activity stop,918,1,1
feel sad,15552,1,1
sad cry,35813,1,1
cry able,8997,1,1
concentrate appetite,7692,1,1
appetite return,2984,1,1
flash day,16306,1,1
night episodes,28120,1,1
episodes kept,13840,1,1
kept awake,22325,1,1
night alternate,28101,1,1
alternate hot,2150,1,1
hot sweaty,19910,1,1
sweaty flash,40428,1,1
flash follow,16313,1,1
follow teeth,16592,1,1
teeth rattle,41398,1,1
rattle chill,33500,1,1
chill prempro,6607,1,1
prempro eliminate,31809,1,1
eliminate vast,13308,1,1
majority episode,24856,1,1
episode could,13808,1,1
darvocet help,9399,1,1
well beginning,45540,1,1
beginning return,4542,1,1
return home,35431,1,1
home hospital,19735,1,1
hospital within,19886,1,1
week half,45319,1,1
half begin,18631,1,1
feel help,15482,1,1
much need,27260,1,1
need two,27776,1,1
take gradually,41030,1,1
gradually need,18253,1,1
bumpiness,5728,1,1
redness bumpiness,33975,1,1
bumpiness day,5729,1,1
day believe,9458,1,1
benefit associate,4679,1,1
associate prescribed,3400,1,1
use histamine,44279,1,1
histamine block,19652,1,1
block topical,5193,1,1
cream course,8889,1,1
alcholic,1504,1,1
prevacid allow,32129,1,1
drink certain,11756,1,1
food fluid,16620,1,1
fluid normally,16443,1,1
normally could,28466,1,1
tolerate anymore,42763,1,1
anymore without,2797,1,1
without great,46052,1,1
discomfort e,11020,1,1
e spicy,12384,1,1
food coffee,16606,1,1
coffee chocolate,7157,1,1
chocolate tomato,6637,1,1
tomato product,42774,1,1
product alcholic,32540,1,1
alcholic drink,1505,1,1
drink drink,11758,1,1
drink occassionally,11763,1,1
occassionally red,28939,1,1
red wine,33967,1,1
wine skip,45918,1,1
skip prevacid,37600,1,1
prevacid reason,32137,1,1
reason almost,33759,1,1
almost certainly,1745,1,1
certainly uncomfortable,6361,1,1
protrude,32816,1,1
snorkel,38166,1,1
ocean,29000,1,1
oozing,29325,1,1
amoxilin,2377,1,1
mildly scratch,26265,1,1
scratch left,36102,1,1
left ankle,22937,1,1
ankle right,2432,1,1
right protrude,35580,1,1
protrude bone,32817,1,1
bone snorkel,5351,1,1
snorkel ocean,38167,1,1
ocean abrasion,29001,1,1
abrasion small,442,1,1
small first,37969,1,1
first aid,16146,1,1
aid wash,1465,1,1
wash area,45109,1,1
area shower,3128,1,1
shower next,36973,1,1
become inflamed,4340,1,1
inflamed begin,21310,1,1
begin apply,4471,1,1
apply antibiotic,3008,1,1
antibiotic powder,2552,1,1
powder try,31644,1,1
try dry,43471,1,1
inflamed area,21309,1,1
area 4th,3088,1,1
4th morning,149,1,1
morning tiny,27007,1,1
tiny scratch,42630,1,1
scratch develop,36100,1,1
develop point,10522,1,1
point abrasion,31380,1,1
abrasion oozing,441,1,1
oozing sore,29326,1,1
sore size,38476,1,1
size quarter,37389,1,1
quarter foot,33128,1,1
foot red,16670,1,1
red swollen,33965,1,1
swollen make,40542,1,1
make impossible,24933,1,1
impossible put,20657,1,1
put shoe,33097,1,1
shoe immediately,36872,1,1
immediately go,20542,1,1
go local,17898,1,1
local doctor,24122,1,1
prescribe amoxilin,31838,1,1
amoxilin tablet,2378,1,1
tablet drug,40848,1,1
effective effect,12975,1,1
could felt,8585,1,1
felt within,15823,1,1
individually,21140,1,1
hibiclens,19541,1,1
soap,38178,1,1
undrained,43898,1,1
suffer outbreak,40030,1,1
outbreak painful,29593,1,1
painful skin,30145,1,1
skin boil,37430,1,1
boil low,5330,1,1
back stomach,3969,1,1
stomach probably,39396,1,1
probably total,32361,1,1
total week,42902,1,1
would heal,46633,1,1
heal individually,19039,1,1
individually drain,21141,1,1
drain also,11667,1,1
painful would,30153,1,1
would continually,46592,1,1
continually form,8127,1,1
form doctor,16745,1,1
diagnose cause,10564,1,1
cause mrsa,6234,1,1
mrsa prescribed,27165,1,1
prescribed septra,31929,1,1
septra along,36517,1,1
daily wash,9309,1,1
wash hibiclens,45111,1,1
hibiclens soap,19542,1,1
soap take,38179,1,1
one large,29211,1,1
large undrained,22630,1,1
undrained boil,43899,1,1
boil heal,5327,1,1
heal heal,19037,1,1
heal without,19059,1,1
without drain,46031,1,1
drain importantly,11669,1,1
importantly boil,20646,1,1
boil stop,5331,1,1
stop form,39490,1,1
h1n1,18521,1,1
diagnose h1n1,10571,1,1
h1n1 ill,18522,1,1
ill little,20441,1,1
little past,24029,1,1
past week,30407,1,1
week doctor,45291,1,1
prescription tamiflu,31967,1,1
tamiflu x,41285,1,1
x day,46845,1,1
day 3rd,9428,1,1
become rapidly,4366,1,1
rapidly ill,33398,1,1
ill onset,20442,1,1
onset high,29308,1,1
fever temp,15858,1,1
temp go,41466,1,1
go pretty,17938,1,1
pretty fast,32117,1,1
fast within,15298,1,1
start cough,38952,1,1
mucus lung,27332,1,1
lung feeling,24715,1,1
feeling wear,15676,1,1
hour able,19917,1,1
complete full,7529,1,1
non return,28266,1,1
return breast,35421,1,1
good unless,18201,1,1
unless stop,43985,1,1
stop day,39472,1,1
ohter,29069,1,1
fould,16820,1,1
doesage,11371,1,1
well ohter,45643,1,1
ohter drug,29070,1,1
take benefit,40937,1,1
find try,16073,1,1
try taper,43533,1,1
taper fould,41298,1,1
fould difficult,16821,1,1
difficult low,10805,1,1
low doesage,24556,1,1
doesage 100mg,11372,1,1
100mg little,6,1,1
little drowsy,23998,1,1
drowsy morning,11854,1,1
morning couple,26963,1,1
couple cup,8707,1,1
cup coffee,9032,1,1
coffee im,7158,1,1
im fine,20464,1,1
puportedly,33017,1,1
benefit psychotic,4801,1,1
psychotic episode,32955,1,1
episode every,13812,1,1
drug puportedly,12065,1,1
puportedly take,33018,1,1
stop episode,39482,1,1
episode nothing,13826,1,1
nothing best,28575,1,1
drowsy help,11853,1,1
depression suicidality,10352,1,1
suicidality improved,40122,1,1
sleep stable,37749,1,1
immensley,20582,1,1
accute,584,1,1
benefit highly,4747,1,1
highly good,19620,1,1
good fact,18087,1,1
fact immensley,15077,1,1
immensley ease,20583,1,1
ease pain,12455,1,1
joint mother,22173,1,1
mother stop,27043,1,1
medication face,25515,1,1
face accute,14990,1,1
accute pain,585,1,1
pain keep,29968,1,1
hour mark,19953,1,1
mark improvement,25174,1,1
bronchitis ten,5679,1,1
prescription time,31968,1,1
allergy little,1606,1,1
good nose,18137,1,1
nose runny,28519,1,1
improve accompany,20668,1,1
accompany monthly,535,1,1
monthly exfoliation,26845,1,1
exfoliation peel,14526,1,1
pigmentation acne,31073,1,1
fade still,15106,1,1
prevent emotional,32156,1,1
low specifically,24605,1,1
specifically help,38599,1,1
help cry,19271,1,1
much lessen,27246,1,1
lessen intense,23198,1,1
intense care,21697,1,1
care case,6055,1,1
case lessen,6128,1,1
lessen much,23199,1,1
nessesary,27856,1,1
parathesis,30261,1,1
definetely,9989,1,1
aerobic,1232,1,1
excerises,14443,1,1
resemblance,35088,1,1
lessening nerve,23226,1,1
medication increase,25543,1,1
increase nessesary,21024,1,1
nessesary decrease,27857,1,1
decrease parathesis,9890,1,1
parathesis shake,30262,1,1
shake exercise,36806,1,1
need truly,27775,1,1
truly relieve,43436,1,1
pain water,30113,1,1
water base,45134,1,1
base therapy,4195,1,1
therapy definetely,41736,1,1
definetely add,9990,1,1
add releif,1030,1,1
releif pain,34654,1,1
symptom increase,40629,1,1
increase sleep,21046,1,1
sleep general,37672,1,1
general treatment,17339,1,1
treatment lyrica,43222,1,1
lyrica anti,24738,1,1
depressant muscle,10173,1,1
relaxer exercise,34626,1,1
program include,32640,1,1
include stretching,20936,1,1
stretching weight,39724,1,1
weight resistance,45491,1,1
resistance aerobic,35104,1,1
aerobic endurance,1233,1,1
endurance training,13537,1,1
training water,42974,1,1
water excerises,45139,1,1
excerises follow,14444,1,1
follow religiously,16588,1,1
religiously combine,34831,1,1
combine contribute,7317,1,1
contribute relieve,8228,1,1
gain give,17227,1,1
patient back,30457,1,1
back resemblance,3957,1,1
resemblance normal,35089,1,1
normal live,28403,1,1
60mg,185,1,1
promise,32705,1,1
medication save,25613,1,1
sever unable,36612,1,1
properly make,32753,1,1
like real,23791,1,1
real person,33623,1,1
person do,30904,1,1
do much,11258,1,1
much anxiety,27182,1,1
ocd xanax,28999,1,1
help area,19240,1,1
area go,3110,1,1
go psychiatrist,17941,1,1
psychiatrist week,32946,1,1
ocd hop,28997,1,1
hop cymbalta,19762,1,1
cymbalta lexapro,9190,1,1
lexapro 30mg,23386,1,1
30mg switch,118,1,1
switch celexa,40511,1,1
reason 60mg,33757,1,1
60mg celexa,186,1,1
cost life,8495,1,1
life ineffective,23512,1,1
ineffective depression,21164,1,1
reason lexapro,33768,1,1
lexapro show,23414,1,1
show much,36960,1,1
much promise,27274,1,1
promise effectiveness,32706,1,1
migriane,26199,1,1
sufferer,40055,1,1
inot,21537,1,1
believer,4626,1,1
modern,26616,1,1
make migriane,24947,1,1
migriane sufferer,26200,1,1
sufferer inot,40056,1,1
inot real,21538,1,1
real believer,33613,1,1
believer modern,4627,1,1
modern medicine,26617,1,1
medicine really,25728,1,1
headache allow,18919,1,1
live could,24062,1,1
could positive,8625,1,1
voltarin,44852,1,1
without voltarin,46129,1,1
voltarin every,44853,1,1
every step,14287,1,1
step make,39164,1,1
make joint,24937,1,1
joint feel,22163,1,1
like crack,23704,1,1
crack glass,8777,1,1
glass ache,17765,1,1
ache constantly,603,1,1
constantly drug,8059,1,1
drug greatly,11977,1,1
razor,33505,1,1
product take,32579,1,1
great care,18301,1,1
care razor,6076,1,1
razor bump,33506,1,1
bump apply,5720,1,1
apply night,3022,1,1
night clear,28108,1,1
clear morning,6935,1,1
condition lessen,7799,1,1
suppressant,40243,1,1
community,7465,1,1
acknowledge,677,1,1
await,3688,1,1
abstain,485,1,1
intimate,21799,1,1
encouragement,13476,1,1
par,30242,1,1
appeared,2957,1,1
virus many,44776,1,1
year resolve,47064,1,1
resolve go,35131,1,1
go look,17900,1,1
possible suppressant,31551,1,1
suppressant medical,40244,1,1
medical community,25437,1,1
community acknowledge,7466,1,1
acknowledge contact,678,1,1
contact virus,8102,1,1
virus await,44769,1,1
await opportunity,3689,1,1
opportunity break,29374,1,1
break especially,5504,1,1
especially time,13952,1,1
stress tiredness,39698,1,1
tiredness prior,42685,1,1
valtrex viral,44588,1,1
viral herpes,44750,1,1
herpes attack,19512,1,1
attack day,3490,1,1
least four,22870,1,1
year sometimes,47080,1,1
sometimes time,38354,1,1
year valtrex,47105,1,1
valtrex amazing,44578,1,1
amazing drug,2282,1,1
experience tablet,14708,1,1
day transmit,9682,1,1
transmit virus,43009,1,1
virus partner,44778,1,1
partner provide,30352,1,1
provide pay,32868,1,1
attention first,3576,1,1
virus abstain,44768,1,1
abstain intimate,486,1,1
intimate sexual,21800,1,1
sexual encounter,36782,1,1
encounter five,13469,1,1
virus honest,44774,1,1
honest frustrate,19745,1,1
frustrate many,17027,1,1
people suffer,30673,1,1
suffer virus,40049,1,1
virus inform,44775,1,1
inform treat,21380,1,1
treat problem,43095,1,1
problem hope,32417,1,1
help give,19311,1,1
give encouragement,17679,1,1
encouragement par,13477,1,1
par miracle,30243,1,1
miracle since,26464,1,1
one potential,29242,1,1
outbreak past,29594,1,1
two half,43674,1,1
year onset,47037,1,1
onset potential,29314,1,1
outbreak increase,29589,1,1
dose tablet,11583,1,1
day twice,9685,1,1
day four,9527,1,1
treatment suppress,43286,1,1
suppress outbreak,40241,1,1
outbreak symptom,29599,1,1
felt appeared,15705,1,1
appeared slightly,2958,1,1
slightly disappear,37862,1,1
take zovirax,41248,1,1
zovirax first,47268,1,1
tingle would,42617,1,1
would prevent,46685,1,1
prevent outbreak,32173,1,1
outbreak wait,29603,1,1
wait would,44931,1,1
get blister,17436,1,1
resolve uti,35137,1,1
uti symptom,44520,1,1
symptom improve,40627,1,1
improve rapidly,20729,1,1
rapidly day,33394,1,1
day urge,9689,1,1
urge frequently,44127,1,1
frequently urinate,16965,1,1
urinate completely,44156,1,1
completely subside,7612,1,1
totally neutralize,42918,1,1
neutralize effect,27899,1,1
effect reflux,12873,1,1
tolerance little,42752,1,1
little peeling,24030,1,1
peeling apply,30618,1,1
combination erthyrom,7287,1,1
erthyrom caplets,13883,1,1
caplets also,5992,1,1
also topical,2125,1,1
topical use,42870,1,1
use occasionally,44336,1,1
occasionally able,28922,1,1
control deep,8257,1,1
cyst erthyrom,9207,1,1
erthyrom probably,13884,1,1
probably major,32356,1,1
major factor,24842,1,1
factor retin,15096,1,1
retin good,35386,1,1
good addition,18036,1,1
relpax would,34840,1,1
away include,3773,1,1
include secondary,20930,1,1
secondary symptom,36179,1,1
symptom neck,40647,1,1
neck ache,27652,1,1
ache jaw,611,1,1
jaw pain,22097,1,1
comparison antidepression,7498,1,1
antidepression medication,2598,1,1
prior effexor,32301,1,1
effexor actually,13119,1,1
actually begin,939,1,1
work faster,46290,1,1
faster others,15304,1,1
others week,29556,1,1
week antidepressant,45265,1,1
usually close,44469,1,1
close week,7102,1,1
symptom significantly,40690,1,1
th,41687,1,1
upto,44110,1,1
tremedously,43316,1,1
neck lortab,27666,1,1
lortab reduce,24349,1,1
pain lortab,29988,1,1
relieve th,34817,1,1
th pain,41688,1,1
pain upto,30107,1,1
upto eight,44111,1,1
need many,27735,1,1
many pill,25141,1,1
find release,16057,1,1
release good,34639,1,1
like pill,23787,1,1
help tremedously,19454,1,1
distracting,11195,1,1
dramatically would,11704,1,1
wake least,44955,1,1
night difficulty,28115,1,1
difficulty go,10824,1,1
sleep always,37615,1,1
always problem,2255,1,1
well hot,45604,1,1
flash intense,16320,1,1
intense distracting,21698,1,1
distracting since,11196,1,1
since stop,37225,1,1
stop originally,39532,1,1
premarin give,31792,1,1
give headache,17689,1,1
headache patch,18977,1,1
patch consistent,30419,1,1
delivery help,10066,1,1
help immensely,19326,1,1
immensely reduce,20581,1,1
number severity,28781,1,1
severity headache,36754,1,1
stand leg,38900,1,1
leg fine,22961,1,1
fine ache,16085,1,1
ache cramp,604,1,1
cramp leg,8797,1,1
leg keep,22968,1,1
sleep doctor,37647,1,1
try requip,43517,1,1
requip best,35057,1,1
chapstick,6481,1,1
somebody,38259,1,1
bea,4258,1,1
treatment short,43274,1,1
term result,41593,1,1
result month,35297,1,1
year fantastic,46969,1,1
fantastic exception,15219,1,1
exception treatment,14432,1,1
treatment leave,43213,1,1
leave big,22900,1,1
big scar,4987,1,1
scar face,36018,1,1
face nothing,15023,1,1
nothing year,28601,1,1
begin acne,4467,1,1
breakout six,5560,1,1
six year,37367,1,1
later also,22725,1,1
also breakout,1952,1,1
breakout back,5536,1,1
back new,3932,1,1
new place,27994,1,1
place like,31238,1,1
like neck,23771,1,1
chest behind,6548,1,1
behind ear,4567,1,1
ear believe,12394,1,1
believe belly,4579,1,1
belly back,4630,1,1
back another,3874,1,1
another opinion,2475,1,1
opinion want,29363,1,1
want second,45057,1,1
second accutane,36144,1,1
treatment way,43301,1,1
way also,45166,1,1
also treatment,2129,1,1
treatment live,43216,1,1
without chapstick,46018,1,1
chapstick lip,6482,1,1
lip always,23914,1,1
always dry,2237,1,1
dry hope,12175,1,1
help somebody,19425,1,1
somebody bea,38260,1,1
wouls,46747,1,1
first quickly,16207,1,1
become tolerant,4383,1,1
tolerant wouls,42760,1,1
wouls wear,46748,1,1
hour next,19959,1,1
dose due,11527,1,1
passt,30388,1,1
plunge,31337,1,1
frightening,16998,1,1
benefit celexa,4691,1,1
celexa surprising,6313,1,1
surprising welcome,40355,1,1
welcome passt,45517,1,1
passt year,30389,1,1
year give,46978,1,1
every anti,14256,1,1
depressant doctor,10166,1,1
doctor could,11295,1,1
think effect,41942,1,1
effect uncomfortable,12916,1,1
uncomfortable side,43844,1,1
enough find,13691,1,1
find would,16080,1,1
help one,19375,1,1
one remember,29246,1,1
name actually,27441,1,1
actually lift,957,1,1
great week,18362,1,1
week suddenly,45402,1,1
suddenly plunge,39991,1,1
plunge depression,31338,1,1
depression dark,10241,1,1
dark frightening,9368,1,1
frightening experience,16999,1,1
restsis,35244,1,1
restasis dramatically,35205,1,1
dramatically improve,11695,1,1
improve issue,20709,1,1
issue relate,21990,1,1
relate dry,34548,1,1
eye primary,14933,1,1
primary problem,32294,1,1
problem discomfort,32397,1,1
discomfort feeling,11022,1,1
feeling something,15664,1,1
something eye,38291,1,1
eye obvious,14930,1,1
obvious redness,28882,1,1
redness issue,33986,1,1
issue disappear,21978,1,1
disappear start,10965,1,1
take restsis,41171,1,1
restsis short,35245,1,1
period run,30828,1,1
run restasis,35784,1,1
restasis stop,35207,1,1
week dry,45294,1,1
eye symptom,14947,1,1
symptom reappear,40668,1,1
reappear away,33750,1,1
away resume,3799,1,1
resume treatment,35354,1,1
adjust thyroid,1154,1,1
month lbs,26741,1,1
lbs weight,22809,1,1
benefit pain,4789,1,1
relieve benefit,34773,1,1
benefit virtually,4860,1,1
virtually effect,44758,1,1
depression quickly,10326,1,1
become intolerable,4345,1,1
intolerable use,21807,1,1
breakouts,5563,1,1
differin take,10790,1,1
initially seem,21487,1,1
make breakouts,24880,1,1
breakouts bad,5564,1,1
however breakout,20030,1,1
cease skin,6290,1,1
become nearly,4352,1,1
nearly acne,27615,1,1
xanax calming,46850,1,1
edge effexor,12661,1,1
effexor side,13135,1,1
opiod,29365,1,1
augment,3606,1,1
bind,5000,1,1
sublingual,39861,1,1
gentle,17391,1,1
definitly,10025,1,1
emphasize,13423,1,1
grace,18229,1,1
subutex mostly,39947,1,1
mostly use,27028,1,1
help opiate,19376,1,1
opiate addict,29347,1,1
addict withdrawal,1056,1,1
withdrawal comfortably,45939,1,1
comfortably opiod,7425,1,1
opiod drug,29366,1,1
drug vicodin,12132,1,1
vicodin oxycodone,44730,1,1
oxycodone even,29779,1,1
even heroin,14103,1,1
heroin however,19508,1,1
however start,20088,1,1
start subutex,39054,1,1
subutex doctor,39946,1,1
doctor luck,11317,1,1
luck find,24677,1,1
another med,2471,1,1
med would,25427,1,1
would augment,46573,1,1
augment current,3607,1,1
current depression,9093,1,1
medication effexor,25508,1,1
xr adderall,46872,1,1
adderall partially,1048,1,1
partially work,30312,1,1
doctor find,11305,1,1
find research,16059,1,1
suggest subutex,40103,1,1
agonist although,1424,1,1
although much,2193,1,1
much different,27197,1,1
different property,10774,1,1
property compare,32767,1,1
compare think,7493,1,1
think think,42002,1,1
think opiate,41981,1,1
opiate bind,29351,1,1
bind one,5001,1,1
one opiate,29231,1,1
opiate receptor,29353,1,1
receptor brain,33845,1,1
brain responsible,5477,1,1
responsible mood,35178,1,1
mood doctor,26872,1,1
doctor always,11283,1,1
always cut,2234,1,1
cut edge,9118,1,1
edge current,12660,1,1
current research,9097,1,1
research extremely,35082,1,1
extremely open,14866,1,1
open mind,29337,1,1
mind try,26320,1,1
try med,43502,1,1
med welcome,25423,1,1
welcome relief,45518,1,1
relief well,34752,1,1
well almost,45527,1,1
result medication,35295,1,1
definitely aid,9998,1,1
aid treatment,1464,1,1
treatment treatment,43293,1,1
treatment resistent,43265,1,1
resistent depression,35117,1,1
depression following,10263,1,1
following benefit,16597,1,1
notice take,28683,1,1
take subutex,41201,1,1
subutex quick,39949,1,1
quick act,33140,1,1
act subutex,842,1,1
subutex sublingual,39950,1,1
sublingual dissolve,39862,1,1
tongue get,42804,1,1
get system,17595,1,1
system immediately,40804,1,1
immediately process,20556,1,1
process digestive,32504,1,1
digestive system,10837,1,1
system first,40802,1,1
first gentle,16173,1,1
gentle effect,17392,1,1
effect definitly,12740,1,1
definitly experience,10026,1,1
experience high,14640,1,1
high subtle,19603,1,1
subtle noticeable,39941,1,1
improvement feeling,20781,1,1
wellbeing also,45724,1,1
somewhat anxiety,38366,1,1
anxiety calming,2633,1,1
effect normal,12837,1,1
normal dos,28379,1,1
dos happen,11426,1,1
without tiredness,46119,1,1
tiredness notice,42684,1,1
find psychiatric,16051,1,1
medication weight,25657,1,1
gain loss,17234,1,1
loss personality,24449,1,1
change sexual,6451,1,1
sexual effect,36781,1,1
effect etc,12763,1,1
etc also,14001,1,1
also case,1953,1,1
case anyone,6113,1,1
anyone worry,2807,1,1
worry subutex,46495,1,1
agonist must,1425,1,1
must emphasize,27407,1,1
emphasize med,13424,1,1
med build,25389,1,1
tolerance make,42753,1,1
dosage dose,11451,1,1
dose four,11537,1,1
without ever,46037,1,1
think need,41976,1,1
need however,27723,1,1
understand case,43880,1,1
case psychiatric,6133,1,1
medication cannot,25476,1,1
cannot simply,5971,1,1
simply stop,37162,1,1
medication without,25661,1,1
without taper,46116,1,1
experience withdrawal,14725,1,1
effect one,12842,1,1
one save,29248,1,1
save grace,35882,1,1
grace subutex,18230,1,1
subutex though,39951,1,1
though long,42088,1,1
life remain,23552,1,1
remain system,34880,1,1
system long,40806,1,1
enough prevent,13705,1,1
prevent type,32191,1,1
type withdrawal,43738,1,1
withdrawal even,45943,1,1
even miss,14124,1,1
two medication,43679,1,1
assist ibuprofen,3365,1,1
ibuprofen cortizone,20353,1,1
cortizone pain,8478,1,1
pap,30229,1,1
originally begin,29489,1,1
still process,39317,1,1
process acne,32497,1,1
however little,20060,1,1
little two,24053,1,1
skin go,37481,1,1
go pap,17928,1,1
pap smear,30230,1,1
smear find,38002,1,1
find asymptomatic,15994,1,1
asymptomatic chlamydia,3456,1,1
chlamydia prescribe,6629,1,1
prescribe gram,31864,1,1
gram azithromycin,18268,1,1
azithromycin research,3845,1,1
research find,35083,1,1
find exact,16016,1,1
exact dosage,14382,1,1
dosage take,11493,1,1
take doxycycline,40984,1,1
doxycycline week,11638,1,1
week consider,45277,1,1
consider effective,7937,1,1
effective way,13067,1,1
way treat,45202,1,1
treat chlamydia,43056,1,1
chlamydia clearly,6627,1,1
clearly work,7033,1,1
stop eventually,39483,1,1
eventually grow,14217,1,1
grow new,18444,1,1
hair hairline,18566,1,1
hairline hair,18615,1,1
hair recede,18581,1,1
recede side,33808,1,1
know affect,22447,1,1
affect crown,1244,1,1
cope difficult,8415,1,1
difficult time,10813,1,1
time emotionally,42416,1,1
elminated,13334,1,1
elminated migraine,13335,1,1
nothing noticeable,28588,1,1
noticeable really,28705,1,1
really night,33715,1,1
sweat improve,40408,1,1
slightly memory,37873,1,1
memory fuzzy,25793,1,1
pregnancy regular,31749,1,1
less intense,23092,1,1
intense pm,21703,1,1
symptom breast,40568,1,1
breast go,5572,1,1
go full,17869,1,1
full c,17043,1,1
c cup,5791,1,1
cup full,9033,1,1
full cup,17047,1,1
cup lexapro,9034,1,1
lexapro might,23407,1,1
might reason,26097,1,1
reason experience,33762,1,1
experience really,14687,1,1
really bad,33662,1,1
like people,23784,1,1
say nothing,35954,1,1
nothing really,28591,1,1
really change,33670,1,1
change great,6427,1,1
great know,18326,1,1
mics,26067,1,1
advantagious,1201,1,1
metobolic,25978,1,1
lithargic,23975,1,1
drug levothyroxine,12005,1,1
levothyroxine mics,23378,1,1
mics daily,26068,1,1
take hypothyroidism,41045,1,1
hypothyroidism advantagious,20320,1,1
advantagious metobolic,1202,1,1
metobolic effect,25979,1,1
felt alert,15700,1,1
awake felt,3696,1,1
felt lithargic,15768,1,1
lithargic brain,23976,1,1
brain dead,5467,1,1
dead inadvertantly,9720,1,1
inadvertantly skip,20856,1,1
skip day,37598,1,1
like would,23829,1,1
would notice,46670,1,1
notice sluggishness,28679,1,1
prescribe side,31895,1,1
drowsiness although,11840,1,1
although mainly,2186,1,1
mainly use,24791,1,1
use anti,44204,1,1
depressant tricyclic,10178,1,1
tricyclic family,43361,1,1
family cause,15182,1,1
cause considerable,6195,1,1
considerable drowsiness,7955,1,1
drowsiness even,11844,1,1
even low,14116,1,1
dose 50mg,11506,1,1
50mg immediately,161,1,1
immediately help,20543,1,1
cause daytime,6198,1,1
daytime hangover,9711,1,1
increase easily,20984,1,1
intraocular,21816,1,1
